,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,avaliador2_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_nome,orientador_país,orientador_keyword_1,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_nome,avaliador1_país,avaliador1_filiação,avaliador5_filiação,avaliador6_filiação,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador6_nome,avaliador6_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
46,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/372959?guid=1651938995137&returnUrl=%2fresultado%2flistar%3fguid%3d1651938995137%26quantidadePaginas%3d1%26codigoRegistro%3d372959%23372959&i=5,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,,no info,46,no info,Eliane Martins,no info,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/378324?guid=1651939062163&returnUrl=%2fresultado%2flistar%3fguid%3d1651939062163%26quantidadePaginas%3d1%26codigoRegistro%3d378324%23378324&i=4,orcid.org/0000-0002-3891-1593,orcid.org/0000-0003-4549-7105,sem orcid,,,,,Universidade Estadual de Campinas,47,sem orcid,sem orcid,sem orcid,,,mario cortes,no info,,,,Cecilia Mary Fischer Rubira Rubira,no info,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/373192?guid=1651939118932&returnUrl=%2fresultado%2flistar%3fguid%3d1651939118932%26quantidadePaginas%3d1%26codigoRegistro%3d373192%23373192&i=1,sem orcid,orcid.org/0000-0002-8055-0680,sem orcid,,,,,sem orcid,48,sem orcid,sem orcid,sem orcid,,,sem orcid,sem orcid,,,,Silvia Maria Fonseca Silveira Massruhá,Brazil,Embrapa Agricultura Digital,,,,,,,,,,,,,agricultura digital,Inteligência artificial,sistemas inteligentes,,,,lógica fuzzy,internet das coisas,,,,,,,,,
49,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385776?guid=1651939147615&returnUrl=%2fresultado%2flistar%3fguid%3d1651939147615%26quantidadePaginas%3d1%26codigoRegistro%3d385776%23385776&i=2,sem orcid,orcid.org/0000-0002-8055-0680,orcid.org/0000-0002-3891-1593,,,,,sem orcid,49,Universidade Estadual de Campinas,mario cortes,no info,,,sem orcid,sem orcid,,,,Silvia Maria Fonseca Silveira Massruhá,Brazil,Embrapa Agricultura Digital,,,,,,,,,,,,,agricultura digital,Inteligência artificial,sistemas inteligentes,,,,lógica fuzzy,internet das coisas,,,,,,,,,
50,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/404987?guid=1651939313402&returnUrl=%2fresultado%2flistar%3fguid%3d1651939313402%26quantidadePaginas%3d1%26codigoRegistro%3d404987%23404987&i=2,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-1180-2637,,,,,University of Campinas,50,UNICAMP - University of Campinas,Edmundo Madeira,no info,,,Ricardo Dahab,Brazil,Cryptography,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,, Graph Theory,,,,,,,,,,,,,
51,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/398431?guid=1651939358788&returnUrl=%2fresultado%2flistar%3fguid%3d1651939358788%26quantidadePaginas%3d1%26codigoRegistro%3d398431%23398431&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-3823-8941,,,,,University of Campinas,51,University of Campinas,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,Ricardo Dahab,Brazil,Cryptography,fault tolerance,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,, Graph Theory,,,,,,,,,,,,,
52,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/399615?guid=1651939407209&returnUrl=%2fresultado%2flistar%3fguid%3d1651939407209%26quantidadePaginas%3d1%26codigoRegistro%3d399615%23399615&i=1,orcid.org/0000-0002-1914-5790,sem orcid,orcid.org/0000-0001-9772-263X,,,,,no info,52,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,Mario Jino,no info,,machine learning,information visualization,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,data science,,,,,,,,
53,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/423883?guid=1651939446476&returnUrl=%2fresultado%2flistar%3fguid%3d1651939446476%26quantidadePaginas%3d1%26codigoRegistro%3d423883%23423883&i=1,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-9241-2229,,,,,University of Campinas,53,University of Campinas,Marco A. Amaral Henriques,no info,,,Ricardo Dahab,Brazil,Cryptography,,,Julio Cesar Lopez Hernandez,Mexico,no info,,,,,,,,,,,,,,,, Graph Theory,,,,,,,,,,,,,
54,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/380178?guid=1651939483755&returnUrl=%2fresultado%2flistar%3fguid%3d1651939483755%26quantidadePaginas%3d1%26codigoRegistro%3d380178%23380178&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-3441-0887,,,,,Universidade Estadual de Campinas,54,Centro de Tecnologia da Informação Renato Archer,Rodrigo Bonacin,no info,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,
55,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385604?guid=1651939516749&returnUrl=%2fresultado%2flistar%3fguid%3d1651939516749%26quantidadePaginas%3d1%26codigoRegistro%3d385604%23385604&i=1,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-2314-5117,sem orcid,,,,,University of Campinas,55,sem orcid,sem orcid,sem orcid,,,Luiz Eduardo Buzato,Brazil,distributed systems,,,Alcides Calsavara,no info,no info,,,,,,,,,,,,,,,,distributed algorithms,fault tolerance,,,,,,,,,,,,
56,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385706?guid=1651939538745&returnUrl=%2fresultado%2flistar%3fguid%3d1651939538745%26quantidadePaginas%3d1%26codigoRegistro%3d385706%23385706&i=1,sem orcid,sem orcid,sem orcid,,,,,sem orcid,56,sem orcid,sem orcid,sem orcid,,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385660?guid=1651939585588&returnUrl=%2fresultado%2flistar%3fguid%3d1651939585588%26quantidadePaginas%3d1%26codigoRegistro%3d385660%23385660&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9539-6874,,,,,UNICAMP,57,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Computer Architecture,Compilers,Rodolfo Azevedo,Brazil,,Code Optimization,High-Performance Computing,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/385673?guid=1651939622636&returnUrl=%2fresultado%2flistar%3fguid%3d1651939622636%26quantidadePaginas%3d1%26codigoRegistro%3d385673%23385673&i=1,sem orcid,sem orcid,orcid.org/0000-0001-5015-2131,,,,,sem orcid,58,no info,Neucimar Leite,no info,,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/367419?guid=1651939656621&returnUrl=%2fresultado%2flistar%3fguid%3d1651939656621%26quantidadePaginas%3d1%26codigoRegistro%3d367419%23367419&i=1,sem orcid,orcid.org/0000-0002-6393-0876,orcid.org/0000-0002-8229-3139,orcid.org/0000-0001-7878-4990,orcid.org/0000-0002-1067-6421,,,sem orcid,59,Universidade de São Paulo,Yoshiko Wakabayashi,Brazil,,,sem orcid,sem orcid,,,,Celina Miraglia Herrera de Figueiredo,Brazil,no info,,,no info,Flávio K. Miyazawa,no info,Joao Meidanis,no info,State University of Campinas,,,,,,,,,,,,,,,,,,,,,
60,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/377490?guid=1651939695537&returnUrl=%2fresultado%2flistar%3fguid%3d1651939695537%26quantidadePaginas%3d1%26codigoRegistro%3d377490%23377490&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0001-6049-4573,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-5201-1244,,,University of Campinas,60,no info,Edgard Jamhour,no info,,,Paulo de Geus,Brazil,Computer Security,,,sem orcid,sem orcid,sem orcid,,,no info,Jacques Wainer,Brazil,Ricardo Dahab,Brazil,University of Campinas,,,,,,,,,,,,,,Cryptography, Graph Theory,,,,,,
61,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/396767?guid=1651939820260&returnUrl=%2fresultado%2flistar%3fguid%3d1651939820260%26quantidadePaginas%3d1%26codigoRegistro%3d396767%23396767&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-5760-8426,orcid.org/0000-0001-5685-8004,sem orcid,,,no info,61,no info,Carlos Ribeiro,no info,,,Jacques Wainer,Brazil,,,,sem orcid,sem orcid,sem orcid,,,sem orcid,sem orcid,sem orcid,Siome Goldenstein,no info,no info,,,,,,,,,,,,,,,,,,,,,
62,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/374341?guid=1651939866609&returnUrl=%2fresultado%2flistar%3fguid%3d1651939866609%26quantidadePaginas%3d1%26codigoRegistro%3d374341%23374341&i=2,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-9669-2352,sem orcid,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9772-263X,,,Universidade Estadual de Campinas Instituto de Computação,62,sem orcid,sem orcid,sem orcid,,,Claudia Medeiros,Brazil,Scientific data management,,,Carlos Lucena,Brazil,Pontifícia Universidade Católica do Rio de Janeiro,,,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Cecilia Mary Fischer Rubira Rubira,no info,no info,,,,,Multi agent systems,,, Data interoperability, Open Science,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science
63,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/373679?guid=1651939930574&returnUrl=%2fresultado%2flistar%3fguid%3d1651939930574%26quantidadePaginas%3d1%26codigoRegistro%3d373679%23373679&i=5,sem orcid,sem orcid,orcid.org/0000-0002-6951-7150,orcid.org/0000-0003-4832-9318,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-0683-7672,orcid.org/0000-0001-5201-1244,sem orcid,63,State University of Campinas,Leo Magalhaes,no info,,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,no info,no info,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,Ivan Luiz Marques Ricarte,Brazil,Universidade Estadual de Campinas,Anamaria Gomide,no info,Jacques Wainer,Brazil,,,,,,,,,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,
64,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/377504?guid=1651939990187&returnUrl=%2fresultado%2flistar%3fguid%3d1651939990187%26quantidadePaginas%3d1%26codigoRegistro%3d377504%23377504&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-4344-1263,sem orcid,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-0683-7672,,Universidade Estadual de Campinas,64,Universidade Estadual de Campinas,Rubens Augusto Camargo Lamparelli,no info,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,,,sem orcid,sem orcid,sem orcid,no info,,no info,Eliane Martins,no info,sem orcid,sem orcid,sem orcid,Anamaria Gomide,no info,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,
65,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/378387?guid=1651940046351&returnUrl=%2fresultado%2flistar%3fguid%3d1651940046351%26quantidadePaginas%3d1%26codigoRegistro%3d378387%23378387&i=2,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,orcid.org/0000-0002-3823-8941,orcid.org/0000-0002-6023-5982,,,UNICAMP - University of Campinas,65,sem orcid,sem orcid,sem orcid,,,Edmundo Madeira,no info,,,,sem orcid,sem orcid,sem orcid,,,University of Campinas,Islene Calciolari Garcia,no info,Luiz Eduardo Buzato,Brazil,University of Campinas,,,,,,,,,,,,,,distributed systems,distributed algorithms,fault tolerance,,,,,
66,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/415406?guid=1651940084003&returnUrl=%2fresultado%2flistar%3fguid%3d1651940084003%26quantidadePaginas%3d1%26codigoRegistro%3d415406%23415406&i=1,orcid.org/0000-0003-4549-7105,sem orcid,sem orcid,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-4290-6508,,,no info,66,sem orcid,sem orcid,sem orcid,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,sem orcid,sem orcid,sem orcid,,,no info,Eliane Martins,no info,Luiz Eduardo Buzato,Brazil,University of Campinas,,,,,,,,,,,,,,distributed systems,distributed algorithms,fault tolerance,,,,,
67,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/385280?guid=1651940200965&returnUrl=%2fresultado%2flistar%3fguid%3d1651940200965%26quantidadePaginas%3d1%26codigoRegistro%3d385280%23385280&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-8229-3139,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-6946-9670,,,no info,67,Universidade Estadual de Campinas,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Flávio K. Miyazawa,no info,,Algorithms (design and analysis),Operations Research,Yoshiko Wakabayashi,Brazil,Universidade de São Paulo,,,Universidade Federal de São Paulo,"Yanasse, H.H.",Brazil,Orlando Lee,no info,University of Campinas,,,,,,,,,,,,,,,,,,,,,
68,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/397843?guid=1651940374712&returnUrl=%2fresultado%2flistar%3fguid%3d1651940374712%26quantidadePaginas%3d1%26codigoRegistro%3d397843%23397843&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,orcid.org/0000-0002-1914-5790,sem orcid,no info,68,UNICAMP,Rodolfo Azevedo,Brazil,,,Eliane Martins,no info,,,,Cecilia Mary Fischer Rubira Rubira,no info,no info,no info,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,Mario Jino,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,
69,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/396757?guid=1651940448400&returnUrl=%2fresultado%2flistar%3fguid%3d1651940448400%26quantidadePaginas%3d1%26codigoRegistro%3d396757%23396757&i=1,sem orcid,orcid.org/0000-0003-3692-2202,sem orcid,orcid.org/0000-0003-0683-7672,orcid.org/0000-0001-9772-263X,,,sem orcid,69,sem orcid,sem orcid,sem orcid,,,sem orcid,sem orcid,,,,Delano Beder,no info,no info,,,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Anamaria Gomide,no info,no info,,,,,,,,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science
70,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/393852?guid=1651940495029&returnUrl=%2fresultado%2flistar%3fguid%3d1651940495029%26quantidadePaginas%3d1%26codigoRegistro%3d393852%23393852&i=1,orcid.org/0000-0002-6023-5982,sem orcid,sem orcid,orcid.org/0000-0002-8856-194X,orcid.org/0000-0002-1180-2637,,,University of Campinas,70,sem orcid,sem orcid,sem orcid,,,Islene Calciolari Garcia,no info,,,,sem orcid,sem orcid,sem orcid,,,UNICAMP - University of Campinas,Edmundo Madeira,no info,Ricardo Anido,Brazil,University of Campinas,,,,,,,,,,,,,,,,,,,,,
